id,name,gender,yearOfBirth,url,longitude,latitude
7,"Amiconi, Giacomo",Male,1682,http://www.tate.org.uk/art/artists/giacomo-amiconi-7,14.2681,40.8518
646,"Amiet, Cuno",Male,1868,http://www.tate.org.uk/art/artists/cuno-amiet-646,7.53795,47.2087
7533,"Amorales, Carlos",Male,1970,http://www.tate.org.uk/art/artists/carlos-amorales-7533,-99.1332,19.4326
647,"Amuchastegui, Axel",Male,1921,http://www.tate.org.uk/art/artists/axel-amuchastegui-647,-4.77938,37.8882
14647,"Amzalag, Michael",Male,1967,http://www.tate.org.uk/art/artists/michael-amzalag-14647,2.35222,48.8566
12583,"Anderson, Hurvin",Male,1965,http://www.tate.org.uk/art/artists/hurvin-anderson-12583,-1.8904,52.4862
8961,"Andrade Tudela, Armando",Male,1975,http://www.tate.org.uk/art/artists/armando-andrade-tudela-8961,-77.0428,-12.0464
15587,"Andrade, Jonathas de",Male,1982,http://www.tate.org.uk/art/artists/jonathas-de-andrade-15587,-35.7089,-9.64985
648,"Andre, Carl",Male,1935,http://www.tate.org.uk/art/artists/carl-andre-648,-71.0023,42.2529
2704,"Andreenko, Michel",Male,1894,http://www.tate.org.uk/art/artists/michel-andreenko-mikhail-fedorovich-andriicenko-nechytailo-2704,30.7233,46.4825
649,"Andrews, Michael",Male,1928,http://www.tate.org.uk/art/artists/michael-andrews-649,1.27843,52.6694
9,"Angellis, Peter",Male,1685,http://www.tate.org.uk/art/artists/peter-angellis-9,2.37678,51.0344
650,"Annesley, David",Male,1936,http://www.tate.org.uk/art/artists/david-annesley-650,-0.127758,51.5074
651,"Anquetin, Louis",Male,1861,http://www.tate.org.uk/art/artists/louis-anquetin-651,0.958211,49.1182
652,"Anrep, Boris",Male,1883,http://www.tate.org.uk/art/artists/boris-anrep-652,30.3351,59.9343
13677,"Ansarinia, Nazgol",Female,1979,http://www.tate.org.uk/art/artists/nazgol-ansarinia-13677,51.4231,35.6961
10,"Ansdell, Richard",Male,1815,http://www.tate.org.uk/art/artists/richard-ansdell-10,-2.99157,53.4084
12475,"Anselmo, Giovanni",Male,1934,http://www.tate.org.uk/art/artists/giovanni-anselmo-12475,7.51539,45.0522
11604,"Antin, Eleanor",Female,1935,http://www.tate.org.uk/art/artists/eleanor-antin-11604,-74.0059,40.7128
653,"Anuszkiewicz, Richard",Male,1930,http://www.tate.org.uk/art/artists/richard-anuszkiewicz-653,-80.0851,42.1292
10241,"Ap�_stol, Alexander",Male,1969,http://www.tate.org.uk/art/artists/alexander-apostol-10241,-69.3347,10.0636
654,"Appel, Karel",Male,1921,http://www.tate.org.uk/art/artists/karel-appel-654,4.89517,52.3702
655,"Appelbee, Leonard",Male,1914,http://www.tate.org.uk/art/artists/leonard-appelbee-655,-0.201682,51.4773
656,"Appleyard, Fred",Male,1874,http://www.tate.org.uk/art/artists/fred-appleyard-656,-1.23496,54.5742
2364,"Araeen, Rasheed",Male,1935,http://www.tate.org.uk/art/artists/rasheed-araeen-2364,67.0099,24.8615
2752,"Araki, Nobuyoshi",Male,1940,http://www.tate.org.uk/art/artists/nobuyoshi-araki-2752,139.811,35.7652
10494,"Araujo, Juan",Male,1971,http://www.tate.org.uk/art/artists/juan-araujo-10494,-66.8037,10.4696
5271,"Arbus, Diane",Female,1923,http://www.tate.org.uk/art/artists/diane-arbus-5271,-74.0059,40.7128
12604,"Arcangel, Cory",Male,1978,http://www.tate.org.uk/art/artists/cory-arcangel-12604,-78.8784,42.8864
658,"Archipenko, Alexander",Male,1887,http://www.tate.org.uk/art/artists/alexander-archipenko-658,30.5234,50.4501
659,"Ardizzone, Edward",Male,1900,http://www.tate.org.uk/art/artists/edward-ardizzone-659,106.688,20.8449
660,"Ardon, Mordecai",Male,1896,http://www.tate.org.uk/art/artists/mordecai-ardon-660,21.0542,49.8948
661,"Arikha, Avigdor",Male,1929,http://www.tate.org.uk/art/artists/avigdor-arikha-661,25.9192,47.8425
662,Arman,Male,1928,http://www.tate.org.uk/art/artists/arman-armand-fernandez-662,7.26195,43.7102
663,"Armfield, Maxwell Ashby",Male,1881,http://www.tate.org.uk/art/artists/maxwell-ashby-armfield-663,-1.78882,50.8449
11,"Armitage, Edward",Male,1817,http://www.tate.org.uk/art/artists/edward-armitage-11,-0.127758,51.5074
664,"Armitage, Kenneth",Male,1916,http://www.tate.org.uk/art/artists/kenneth-armitage-664,-1.54908,53.8008
